A	A 1177
A Month	A Month 14
A Month _	A Month in 14
A Month _ _	A Month in the 14
A Month _ _ Country	A Month in the Country 14
A Month _ _ _	A Month in the Country 14
A Month _ the	A Month in the 14
A Month _ the Country	A Month in the Country 14
A Month _ the _	A Month in the Country 14
A Month in	A Month in 14
A Month in _	A Month in the 14
A Month in _ Country	A Month in the Country 14
A Month in _ _	A Month in the Country 14
A Month in the	A Month in the 14
A Month in the Country	A Month in the Country 14
A Month in the _	A Month in the Country 14
A _	A few 32	A new 16	A further 15	A Month 14	A more 14	A good 12	A woman 12	A bit 11
A _ _	A Month in 14
A _ _ _	A Month in the 14
A _ _ _ Country	A Month in the Country 14
A _ _ _ _	A Month in the Country 14
A _ _ the	A Month in the 14
A _ _ the Country	A Month in the Country 14
A _ _ the _	A Month in the Country 14
A _ in	A Month in 14
A _ in _	A Month in the 14
A _ in _ Country	A Month in the Country 14
A _ in _ _	A Month in the Country 14
A _ in the	A Month in the 14
A _ in the Country	A Month in the Country 14
A _ in the _	A Month in the Country 14
A bit	A bit 11
A few	A few 32
A further	A further 15
A good	A good 12
A more	A more 14
A new	A new 16
A woman	A woman 12
ACE	ACE 21
ACET	ACET 181
ACET _	ACET is 15
ACET is	ACET is 15
AGE	AGE 11
AI	AI 59
AIDS	AIDS 159
AND	AND 72
ARE	ARE 18
AT	AT 13
Aaron	Aaron 11
About	About 27
Above	Above 21
Academy	Academy 20
According	According 24
According _	According to 24
According to	According to 24
Ackroyd	Ackroyd 13
Act	Act 105
Action	Action 13
Actually	Actually 12
Add	Add 14
Advice	Advice 28
Africa	Africa 27
African	African 27
After	After 138
After _	After a 24	After all 20	After the 16	After that 14
After a	After a 24
After all	After all 20
After that	After that 14
After the	After the 16
Again	Again 23
Agatha	Agatha 11
Agatha Christie	Agatha Christie 11
Agatha _	Agatha Christie 11
Age	Age 87
Age Concern	Age Concern 45
Age Concern _	Age Concern group 11
Age Concern group	Age Concern group 11
Age England	Age England 31
Age _	Age Concern 45	Age England 31
Age _ _	Age Concern group 11
Age _ group	Age Concern group 11
Ah	Ah 16
Aid	Aid 27
Alan	Alan 55
Alastair	Alastair 12
Ale	Ale 25
Alex	Alex 14
Alexander	Alexander 11
All	All 261
All _	All the 43	All of 19	All right 14	All this 14	All these 11
All of	All of 19
All right	All right 14
All the	All the 43
All these	All these 11
All this	All this 14
Allan	Allan 31
Allan Stewart	Allan Stewart 17
Allan _	Allan Stewart 17
Allied	Allied 31
Allowance	Allowance 29
Almost	Almost 13
Already	Already 13
Also	Also 75
Alternatively	Alternatively 18
Although	Although 95
Although _	Although the 15
Although the	Although the 15
Always	Always 50
Alzheimer	Alzheimer 12
Alzheimer Disease	Alzheimer Disease 11
Alzheimer _	Alzheimer Disease 11
Am	Am 11
Amanda	Amanda 46
America	America 35
American	American 93
Americans	Americans 14
Amnesty	Amnesty 76
Amnesty International	Amnesty International 21
Amnesty _	Amnesty International 21
Among	Among 18
Among _	Among the 12
Among the	Among the 12
An	An 177
And	And 980
And Goldberg	And Goldberg 16
And I	And I 61
And _	And the 75	And I 61	And then 38	And it 35	And so 35	And you 29	And she 27	And he 21	And if 21	And yet 20	And there 18	And they 18	And Goldberg 16	And now 16	And that 16	And what 16	And of 14	And this 14	And we 14	And why 14	And in 13	And when 12	And a 11	And how 11	And with 11
And _ _	And it is 12
And _ is	And it is 12
And a	And a 11
And he	And he 21
And how	And how 11
And if	And if 21
And in	And in 13
And it	And it 35
And it _	And it is 12
And it is	And it is 12
And now	And now 16
And of	And of 14
And she	And she 27
And so	And so 35
And that	And that 16
And the	And the 75
And then	And then 38
And there	And there 18
And they	And they 18
And this	And this 14
And we	And we 14
And what	And what 16
And when	And when 12
And why	And why 14
And with	And with 11
And yet	And yet 20
And you	And you 29
Andrew	Andrew 25
Anglia	Anglia 11
Angus	Angus 11
Anne	Anne 42
Annual	Annual 11
Another	Another 107
Anthony	Anthony 12
Any	Any 60
Anyone	Anyone 17
Anyway	Anyway 41
Apart	Apart 19
Apart _	Apart from 17
Apart from	Apart from 17
April	April 76
Arabella	Arabella 16
Arabella Buckley	Arabella Buckley 16
Arabella _	Arabella Buckley 16
Are	Are 85
Are _	Are you 53	Are there 11
Are there	Are there 11
Are you	Are you 53
Army	Army 16
Art	Art 50
Arthur	Arthur 28
Arts	Arts 25
As	As 409
As I	As I 16
As _	As the 31	As a 27	As he 20	As for 19	As well 17	As I 16	As you 15	As if 13	As in 12	As soon 12
As _ _	As well as 17	As a result 15	As soon as 12
As _ as	As well as 17	As soon as 12
As _ result	As a result 15
As a	As a 27
As a _	As a result 15
As a result	As a result 15
As for	As for 19
As he	As he 20
As if	As if 13
As in	As in 12
As soon	As soon 12
As soon _	As soon as 12
As soon as	As soon as 12
As the	As the 31
As well	As well 17
As well _	As well as 17
As well as	As well as 17
As you	As you 15
Ashton	Ashton 122
Ashton _	Ashton and 12
Ashton and	Ashton and 12
Ask	Ask 29
Association	Association 93
Association _	Association of 16
Association of	Association of 16
At	At 331
At _	At the 115	At least 33	At this 25	At one 17	At first 14
At _ _	At the same 26	At the end 17	At the time 16
At _ _ _	At the same time 26	At the end of 17
At _ _ _ _	At the end of the 11
At _ _ _ the	At the end of the 11
At _ _ of	At the end of 17
At _ _ of _	At the end of the 11
At _ _ of the	At the end of the 11
At _ _ time	At the same time 26
At _ end	At the end 17
At _ end _	At the end of 17
At _ end _ _	At the end of the 11
At _ end _ the	At the end of the 11
At _ end of	At the end of 17
At _ end of _	At the end of the 11
At _ end of the	At the end of the 11
At _ same	At the same 26
At _ same _	At the same time 26
At _ same time	At the same time 26
At _ time	At the time 16
At first	At first 14
At least	At least 33
At one	At one 17
At the	At the 115
At the _	At the same 26	At the end 17	At the time 16
At the _ _	At the same time 26	At the end of 17
